FECHA;HORA;NOMBRE SERVICIO;MENSAJE ERROR;EMAIL SOPORTE
09/07/2017;09:39;Servcio1.exe;Error4;juan@soporte.com.ar
09/07/2017;09:39;Servcio2.exe;Error4;maria@soporte.com.ar
09/07/2017;09:39;Servcio3.exe;Error4;jose@soporte.com.ar
09/07/2017;09:39;Servcio4.exe;Error4;pedro@soporte.com.ar
09/07/2017;09:39;Servcio5.exe;Error4;ana@soporte.com.ar
09/07/2017;09:39;Servcio6.exe;Error4;daniel@soporte.com.ar
09/07/2017;09:39;Servcio7.exe;Error4;hugo@soporte.com.ar
09/07/2017;09:39;Servcio8.exe;Error4;lea@soporte.com.ar
09/07/2017;09:39;Servcio9.exe;Error4;carla@soporte.com.ar
09/07/2017;09:39;Servcio10.exe;Error4;carlos@soporte.com.ar
09/07/2017;09:39;Servcio11.exe;Error4;marcos@soporte.com.ar
09/07/2017;09:39;Servcio12.exe;Error4;mateo@soporte.com.ar
09/07/2017;09:39;Servcio13.exe;Error4;zoe@soporte.com.ar
09/07/2017;09:39;Servcio14.exe;Error4;sandro@soporte.com.ar
09/07/2017;09:39;Servcio15.exe;Error4;danilo@soporte.com.ar
09/07/2017;09:39;Servcio16.exe;Error4;nestor@soporte.com.ar
09/07/2017;09:39;Servcio17.exe;Error4;diego@soporte.com.ar
09/07/2017;09:39;Servcio18.exe;Error4;omar@soporte.com.ar
09/07/2017;09:52;Servcio1.exe;Error17;juan@soporte.com.ar
09/07/2017;09:52;Servcio2.exe;Error17;maria@soporte.com.ar
09/07/2017;09:52;Servcio3.exe;Error17;jose@soporte.com.ar
09/07/2017;09:52;Servcio4.exe;Error17;pedro@soporte.com.ar
09/07/2017;09:52;Servcio5.exe;Error17;ana@soporte.com.ar
09/07/2017;09:52;Servcio6.exe;Error17;daniel@soporte.com.ar
09/07/2017;09:52;Servcio7.exe;Error17;hugo@soporte.com.ar
09/07/2017;09:52;Servcio8.exe;Error17;lea@soporte.com.ar
09/07/2017;09:52;Servcio9.exe;Error17;carla@soporte.com.ar
